Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C6",0603,6,.1uF,C14663
"C12, C17",C_0402,2,10nF,C15195
"C13, C14, C15, C16",0402,4,100nF,C307331
"C18, C20, C21, C9",1210,4,47uF/25V,C90142
C19,C_0603,1,10uF,C19702
"C25, C26, C27, C7",0805,4,1uF,C28323
"C4, C5",0402,2,18pF,C1549
C8,0805,1,47nF,C53134
D1,D_SMB,1,TPSMB33A,C726834
D13,D_SMC,1,B540,C72264
F1,1812,1,3A,C20627123
F2,0805,1,200mA,C20976
J1,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,12V,C495202
J10,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,
J11,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,RS232,C131339
J12,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,C131339
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CAN,C594232
J3,PinHeader_2x04_P2.54mm_Vertical,1,Left Motor,
J4,PinHeader_2x04_P2.54mm_Vertical,1,Right Motor,
J5,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Relay Drivers,C157991
J6,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,Conn_01x08_Pin,C157972
J7,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,Analog Sense,C157993
J8,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,Pulse_Inputs,C157993
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CHT_Type_K,C158012
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,ID_WP,
L1,L_6.3x6.3_H3,1,2.2uH,C305216
L4,L_Changjiang_FXL1040,1,33uH/4A,C436575
R1,0402,1,0,C17168
"R10, R11, R12, R13, R6, R7, R8, R9",R_0603,8,330Ω,C23138
"R14, R15",R_0603,2,100kΩ,C25803
"R16, R28",R_0603,2,10kΩ,C25804
R17,R_0603,1,27kΩ,C22967
R18,R_0603,1,100Ω,C22775
"R2, R3",R_0402,2,3.9kΩ,C51721
R20,R_0603,1,0Ω,C21189
R24,R_0603,1,2.7kΩ,C13167
"R25, R4, R5",R_0603x4,3,10kΩ,C29718
R26,R_0603,1,30.1K,C23000
R27,R_0603,1,274K,C22968
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX31855KASA,C52028
U10,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,"74HC14D,653",C5605
U12,TI_SO-PowerPAD-8,1,TPS7A7001DDA,C60719
U15,TO-263-5_TabPin3,1,XL4015,C51661
"U2, U4",SOIC-16_4.55x10.3mm_P1.27mm,2,TLP293-4,C112623
U3,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C2868291
U5,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP251863T-E/SSVAO,C5226885
U6,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685PW,C2678753
U7,SOP-16_4.4x10.4mm_P1.27mm,1,ULN2003A,C482013
U8,TSSOP-8_4.4x3mm_P0.65mm,1,CAT24C256,C79987 
U9,TSSOP-16_4.4x5mm_P0.65mm,1,MAX3221EIPWR,C484736
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,20Mhz,C362490
