Designator,Mid X,Mid Y,Rotation,Layer
C1,35.9,11.1,90.0,top
C10,36.2,28.825,270.0,top
C11,57.5,10.1,90.0,top
C12,52.8,7.3,180.0,top
C13,47.2,39.28,90.0,top
C14,47.2,41.16,90.0,top
C15,45.7,37.34,0.0,top
C16,47.2,43.06,90.0,top
C17,55.2,7.3,0.0,top
C18,17.525,13.95,180.0,top
C19,28.02,42.7275,0.0,top
C2,39.275,18.725,90.0,top
C20,25.0,32.3,0.0,top
C21,24.925,29.0,0.0,top
C25,16.7,17.4,270.0,top
C26,18.8,17.4,270.0,top
C27,19.45,37.4,0.0,top
C3,48.5,9.6,270.0,top
C4,42.0,19.8,180.0,top
C5,41.055,17.9,180.0,top
C6,42.0,36.0,0.0,top
C7,18.95,6.7,0.0,top
C8,21.65,13.2,0.0,top
C9,17.5,10.6,180.0,top
D1,31.3,11.9,0.0,top
D13,14.9,22.45,180.0,top
F1,24.5625,2.0,0.0,top
F2,11.8,7.4625,90.0,top
J1,31.97,4.25,180.0,top
J10,32.5,52.5,270.0,bottom
J11,43.6,47.35,0.0,top
J12,34.6,47.35,0.0,top
J2,43.15,2.9,180.0,top
J3,61.73,37.33,0.0,top
J4,61.73,22.87,0.0,top
J5,3.175,41.2,90.0,top
J6,3.3,20.75,90.0,top
J7,13.4,3.4,0.0,top
J8,23.6,47.4,0.0,top
J9,54.1,2.9,180.0,top
L1,24.1,7.7,90.0,top
L4,15.45,31.1,0.0,top
R1,42.475,18.3,90.0,top
R10,48.9,30.69,270.0,top
R11,50.2,30.69,270.0,top
R12,51.5,30.69,270.0,top
R13,52.8,30.69,270.0,top
R14,9.4,7.2,90.0,top
R15,15.1,7.02,90.0,top
R16,16.5,7.02,270.0,top
R17,7.9,7.2,270.0,top
R18,13.4,7.1,270.0,top
R2,38.9,35.0,270.0,top
R20,18.8,42.1,0.0,top
R24,25.7,26.5,0.0,top
R25,41.0,22.05,90.0,top
R26,22.4,42.7275,180.0,top
R27,25.1,42.7275,180.0,top
R28,23.0,26.5,0.0,top
R3,38.8,33.0,90.0,top
R4,56.3,46.35,90.0,top
R5,55.7,30.89,90.0,top
R6,49.4,46.52,270.0,top
R7,50.7,46.52,270.0,top
R8,52.1,46.52,270.0,top
R9,53.5,46.52,270.0,top
U1,54.0,11.5,0.0,top
U10,34.5,38.7,270.0,top
U12,24.345,38.03,90.0,top
U15,30.15,19.9,0.0,top
U2,53.5,38.6,270.0,top
U3,11.2,11.0,270.0,top
U4,53.55,23.145,270.0,top
U5,42.2,12.3,0.0,top
U6,42.175,27.6375,0.0,top
U7,12.7,43.2,90.0,top
U8,43.4,33.4,90.0,top
U9,42.8,40.64,90.0,top
Y1,45.075,20.4,270.0,top
